SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM1 COM2
Create Time: 2020-01-09, 08:53:30
Computer Name: HC04096
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

1	08:48:51.055	0.00460280	SmartPack.exe	IRP_MJ_CREATE                       	COM1	SUCCESS	Port Opened	
2	08:48:51.060	0.00071440	SmartPack.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM1	SUCCESS	Baud Rate: 115200	
3	08:48:51.061	0.00050590	SmartPack.exe	IOCTL_SERIAL_CLR_RTS                	COM1	SUCCESS		
4	08:48:51.061	0.00060410	SmartPack.exe	IOCTL_SERIAL_SET_DTR                	COM1	SUCCESS		
5	08:48:51.062	0.00000270	SmartPack.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM1	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
6	08:48:51.062	0.00000130	SmartPack.exe	IOCTL_SERIAL_SET_CHARS              	COM1	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0x11, XoffChar: 0x13	
7	08:48:51.062	0.00180560	SmartPack.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM1	SUCCESS	ControlHandShake: 0x1, FlowReplace: 0x0, XonLimit: 0, XoffLimit: 32768	
8	08:48:51.064	0.00000180	SmartPack.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM1	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
9	08:48:51.064	0.00000160	SmartPack.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM1	SUCCESS	Mask: RXCHAR	
10	08:48:51.064	21.75013230	SmartPack.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM1	SUCCESS		
11	08:48:54.216	0.00008290	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
12	08:48:54.388	0.00018340	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
13	08:48:54.391	0.00005950	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
14	08:48:54.439	0.00022020	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
15	08:48:54.489	0.00018440	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
16	08:48:54.539	0.00017520	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
17	08:48:54.589	0.00000000	SmartPack.exe	IRP_MJ_WRITE                        	COM1		Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
18	08:48:54.640	0.00017400	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
19	08:48:54.689	0.00000000	SmartPack.exe	IRP_MJ_WRITE                        	COM1		Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
20	08:48:54.739	0.00018350	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
21	08:48:54.789	0.00020000	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
22	08:48:54.839	0.00017950	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
23	08:48:54.889	0.00018100	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
24	08:48:54.939	0.00018290	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
