SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM1 COM2
Create Time: 2020-01-08, 14:24:00
Computer Name: HC04096
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

1	14:22:32.633	0.00449000	SmartPack.exe	IRP_MJ_CREATE                       	COM1	SUCCESS	Port Opened	
2	14:22:32.637	0.00077100	SmartPack.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM1	SUCCESS	Baud Rate: 115200	
3	14:22:32.637	0.00054930	SmartPack.exe	IOCTL_SERIAL_CLR_RTS                	COM1	SUCCESS		
4	14:22:32.638	0.00066920	SmartPack.exe	IOCTL_SERIAL_SET_DTR                	COM1	SUCCESS		
5	14:22:32.639	0.00000220	SmartPack.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM1	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
6	14:22:32.639	0.00003520	SmartPack.exe	IOCTL_SERIAL_SET_CHARS              	COM1	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0x11, XoffChar: 0x13	
7	14:22:32.639	0.00197460	SmartPack.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM1	SUCCESS	ControlHandShake: 0x1, FlowReplace: 0x0, XonLimit: 0, XoffLimit: 32768	
8	14:22:32.641	0.00000180	SmartPack.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM1	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
9	14:22:32.641	0.00000190	SmartPack.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM1	SUCCESS	Mask: RXCHAR	
10	14:22:32.641	0.00000000	SmartPack.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM1			
11	14:22:32.655	0.00513860	SmartPack.exe	IRP_MJ_CREATE                       	COM2	SUCCESS	Port Opened	
12	14:22:32.661	0.00072620	SmartPack.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM2	SUCCESS	Baud Rate: 115200	
13	14:22:32.662	0.00047590	SmartPack.exe	IOCTL_SERIAL_CLR_RTS                	COM2	SUCCESS		
14	14:22:32.663	0.00059150	SmartPack.exe	IOCTL_SERIAL_SET_DTR                	COM2	SUCCESS		
15	14:22:32.663	0.00000170	SmartPack.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM2	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
16	14:22:32.663	0.00000160	SmartPack.exe	IOCTL_SERIAL_SET_CHARS              	COM2	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0x11, XoffChar: 0x13	
17	14:22:32.663	0.00181450	SmartPack.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM2	SUCCESS	ControlHandShake: 0x1, FlowReplace: 0x0, XonLimit: 0, XoffLimit: 32768	
18	14:22:32.664	0.00019360	SmartPack.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM2	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
19	14:22:32.665	0.00000250	SmartPack.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM2	SUCCESS	Mask: RXCHAR	
20	14:22:32.665	0.00000000	SmartPack.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM2			
21	14:22:35.913	0.00014710	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
22	14:22:35.914	0.00008380	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
